First Name,Last Name,Date of Birth,IdentificationNumber,Address,Phone Number,Checking Account Number,Savings Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance,Max Credit
Arae,Zarzosa,20-Sep-14,43,"500 W. University Ave El Paso TX 79968",(915) 747-5006,1042,2042,3042,6023.37,4248.79,-268.92
Pluto,Disney,20-Mar-37,5,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1004,2004,3004,1509.75,1494.74,-1289.68
Buzz,Lightyear,12-Mar-63,17,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1016,2016,3016,629.61,21.17,-1215.99
Ervey,Montes,5-Mar-59,51,"500 W. University Ave El Paso TX 79968",(915) 747-5014,1050,2050,3050,5618.89,1304.98,-677.71
Alberto,Miranda,5-Oct-38,37,"500 W. University Ave El Paso TX 79968",(915) 747-5000,1036,2036,3036,4523.05,3710.89,-150.6
Ariel,Disney,15-Apr-70,9,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1008,2008,3008,1535.09,643.61,-1810.55
Laura,Blanco,7-Aug-04,64,"500 W. University Ave El Paso TX 79968",(915) 747-5027,1063,2063,3063,5506.74,4359.58,-1050.73
Robert,Evans,8-Aug-55,72,"500 W. University Ave El Paso TX 79968",(915) 747-5035,1071,2071,3071,5223.55,2948.79,-329.08
Hercules,Disney,30-Jun-66,33,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1032,2032,3032,1270.03,1303.27,-1855.19
Yulianna,Torres,20-Aug-92,75,"500 W. University Ave El Paso TX 79968",(915) 747-5038,1074,2074,3074,5064.6900000000005,3391.57,-1545.62
Gavin,Baechle,16-Sep-58,54,"500 W. University Ave El Paso TX 79968",(915) 747-5017,1053,2053,3053,5734.37,4797.68,-886.85
Alfonso,Beltran,13-Mar-01,39,"500 W. University Ave El Paso TX 79968",(915) 747-5002,1038,2038,3038,4490.02,3447.36,-866.29
Beast,Disney,16-Aug-98,20,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1019,2019,3019,1734.19,4398.81,-160.2
Kaa,Disney,22-Feb-69,28,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1027,2027,3027,830.93,423.8,-864.26
Goofy,Disney,5-Mar-51,4,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1003,2003,3003,1364.06,803.26,-141.39
Quasimodo,Disney,17-Sep-71,32,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1031,2031,3031,457.99,2302.79,-1454.15
Oscar,Decena,14-Nov-07,71,"500 W. University Ave El Paso TX 79968",(915) 747-5034,1070,2070,3070,5479.47,529.74,-689.71
Simba,King,21-Dec-35,24,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1023,2023,3023,1382.74,1684.46,-1863.46
Manuel,Ruvalcaba,30-Dec-42,68,"500 W. University Ave El Paso TX 79968",(915) 747-5031,1067,2067,3067,4870.6,1072.8300000000002,-326.57
Belle,Disney,5-Oct-54,21,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1020,2020,3020,517.81,2312.05,-1024.19
Captaiin,Hook,12-May-01,27,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1026,2026,3026,369.27,3197.4500000000003,-1813.88
Mauricio,Ornelas-Gutierrez,7-Aug-36,69,"500 W. University Ave El Paso TX 79968",(915) 747-5032,1068,2068,3068,4228.62,1218.43,-1129.63
Alyssandra,Cordero,30-Aug-32,41,"500 W. University Ave El Paso TX 79968",(915) 747-5004,1040,2040,3040,5169.49,1375.06,-1725.64
Manuel,Melendez Lujan,18-Mar-36,67,"500 W. University Ave El Paso TX 79968",(915) 747-5030,1066,2066,3066,5336.93,4334.35,-1003.98
Dafne,Bencomo,12-Jul-72,47,"500 W. University Ave El Paso TX 79968",(915) 747-5010,1046,2046,3046,4559.17,1812.87,-1863.49
Jafar,Aladdin,20-Jan-83,18,"1313 Disneyland Dr Anaheim CA 92802",(714) 781-4636,1017,2017,3017,449.71000000000004,2220.54,-406.48
